Company,Model,Car,Minimal price (gross) [PLN],Engine power [KM],Maximum torque [Nm],Type of brakes,Drive type,Battery capacity [kWh],Range (WLTP) [km],Wheelbase [cm],Length [cm],Width [cm],Height [cm],Minimal empty weight [kg],Permissable gross weight [kg],Maximum load capacity [kg],Number of seats,Number of doors,Tire size [in],Maximum speed [kph],Boot capacity (VDA) [l],Acceleration 0-100 kph [s],Maximum DC charging power [kW],mean - Energy consumption [kWh/100 km]
Skoda,citigo-e iv,Skoda citigo-e iv,82050,83,212,disc (front) + drum (rear),2WD,36.8,260,242.2,359.7,164.5,148.1,1178,1530,367,4,5,14,130,250,12.3,40,15.45
Skoda,enyaq iv 50,Skoda enyaq iv 50,,50,220,disc (front) + drum (rear),2WD,,290,,,,,,,,5,,,160,,10,230,
Skoda,citigoe iv,Skoda citigoe iv,,61,212,disc (front) + drum (rear),2WD,,195,,,,,,,,4,,,130,,12.3,170,
Skoda,enyaq iv 80,Skoda enyaq iv 80,,150,310,disc (front) + drum (rear),2WD,,420,,,,,,,,5,,,160,,8.8,560,
Skoda,enyaq iv 80x,Skoda enyaq iv 80x,,195,425,disc (front) + drum (rear),4WD,,400,,,,,,,,5,,,160,,7,540,
Skoda,enyaq iv vrs,Skoda enyaq iv vrs,,225,460,disc (front) + drum (rear),4WD,,400,,,,,,,,5,,,180,,6.2,540,
Skoda,enyaq iv 60,Skoda enyaq iv 60,,132,310,disc (front) + drum (rear),2WD,,320,,,,,,,,5,,,160,,9,440,
Smart,fortwo eq,Smart fortwo eq,96900,82,160,disc (front) + drum (rear),2WD,17.6,154,187.3,269.5,166.3,155.5,1035,1310,290,2,3,15,130,185,11.6,22,16.35
Smart,forfour eq,Smart forfour eq,98900,82,160,disc (front) + drum (rear),2WD,17.6,148,249.4,349.5,166.5,155.4,1140,1570,445,4,5,15,130,260,12.7,22,17
Smart,eq forfour,Smart eq forfour,,82,160,disc (front) + drum (rear),2WD,17.6,95,,,,,,,,4,,,130,,12.7,,
Smart,eq fortwo coupe,Smart eq fortwo coupe,,82,160,disc (front) + drum (rear),2WD,17.6,100,,,,,,,,2,,,130,,11.6,,
Smart,eq fortwo cabrio,Smart eq fortwo cabrio,,82,160,disc (front) + drum (rear),2WD,17.6,95,,,,,,,,2,,,130,,11.9,,
Tesla,model 3 standard range plus,Tesla model 3 standard range plus,195490,285,450,disc (front + rear),2WD,54,430,287.5,469,193,144,1626,,,5,5,18,225,425,5.6,150,
Tesla,model 3 long range,Tesla model 3 long range,235490,372,510,disc (front + rear),4WD,75,580,287.5,469,193,144,1862,,,5,5,18,233,425,4.4,150,
Tesla,model 3 performance,Tesla model 3 performance,260490,480,639,disc (front + rear),4WD,75,567,287.5,469,193,144,1862,,,5,5,20,261,425,3.3,150,
Tesla,model s long range plus,Tesla model s long range plus,368990,525,755,disc (front + rear),4WD,100,652,296,497.9,196.4,144.5,2391,,,5,5,19,250,745,3.8,150,
